COUNTY,Total Active Cases,Total Recovered,Total Deaths,Date
Mercer,41,9,0,1/12/2022
Morton,294,52,0,1/12/2022
Mountrail,93,13,0,1/12/2022
Nelson,11,0,0,1/12/2022
Oliver,9,0,0,1/12/2022
Pembina,45,9,0,1/12/2022
Pierce,28,13,0,1/12/2022
Ramsey,73,23,0,1/12/2022
Ransom,32,3,0,1/12/2022
Renville,13,1,0,1/12/2022
Richland,104,21,0,1/12/2022
Rolette,514,57,0,1/12/2022
Sargent,17,3,0,1/12/2022
Sheridan,2,1,0,1/12/2022
Sioux,72,10,0,1/12/2022
Slope,0,0,0,1/12/2022
Stark,202,24,0,1/12/2022
Steele,9,0,0,1/12/2022
Stutsman,146,18,0,1/12/2022
Towner,20,0,0,1/12/2022
Traill,47,7,0,1/12/2022
Unknown,0,0,0,1/12/2022
Walsh,66,13,0,1/12/2022
Ward,417,90,0,1/12/2022
Wells,19,6,0,1/12/2022
Williams,242,34,1,1/12/2022
Adams,3,2,0,1/13/2022
Barnes,79,7,0,1/13/2022
Benson,49,8,0,1/13/2022
Billings,1,0,0,1/13/2022
Bottineau,23,3,0,1/13/2022
Bowman,6,1,0,1/13/2022
Burke,8,0,0,1/13/2022
Burleigh,1190,168,0,1/13/2022
Cass,2890,310,1,1/13/2022
Cavalier,33,0,0,1/13/2022
Dickey,28,2,0,1/13/2022
Divide,13,3,0,1/13/2022
Dunn,9,1,0,1/13/2022
Eddy,14,4,0,1/13/2022
Emmons,7,1,0,1/13/2022
Foster,32,7,0,1/13/2022
Golden Valley,3,1,0,1/13/2022
Grand Forks,896,130,0,1/13/2022
Grant,10,1,0,1/13/2022
Griggs,15,4,0,1/13/2022
Hettinger,14,2,0,1/13/2022
Kidder,12,2,0,1/13/2022
LaMoure,31,3,0,1/13/2022
Logan,6,1,0,1/13/2022
McHenry,26,2,0,1/13/2022
McIntosh,10,1,0,1/13/2022
McKenzie,57,7,0,1/13/2022
McLean,47,5,0,1/13/2022
Mercer,58,3,0,1/13/2022
Morton,343,47,0,1/13/2022
Mountrail,120,8,0,1/13/2022
Nelson,15,0,0,1/13/2022
Oliver,10,3,0,1/13/2022
Pembina,50,7,0,1/13/2022
Pierce,26,7,0,1/13/2022
Ramsey,108,10,0,1/13/2022
Ransom,34,6,0,1/13/2022
Renville,18,0,0,1/13/2022
Richland,127,10,0,1/13/2022
Rolette,477,94,0,1/13/2022
Sargent,21,2,0,1/13/2022
Sheridan,2,0,0,1/13/2022
Sioux,80,5,0,1/13/2022
Slope,1,0,0,1/13/2022
Stark,254,19,0,1/13/2022
Steele,11,1,0,1/13/2022
Stutsman,159,24,0,1/13/2022
Towner,27,1,0,1/13/2022
Traill,57,4,0,1/13/2022
Unknown,0,0,0,1/13/2022
Walsh,80,8,0,1/13/2022
Ward,506,53,0,1/13/2022
Wells,19,3,0,1/13/2022
Williams,292,32,0,1/13/2022
Adams,6,1,0,1/14/2022
Barnes,91,12,0,1/14/2022
Benson,54,5,0,1/14/2022
Billings,2,0,0,1/14/2022
Bottineau,32,1,0,1/14/2022
Bowman,10,0,0,1/14/2022
Burke,10,0,0,1/14/2022
Burleigh,1334,161,0,1/14/2022
